time,open,high,low,close,tick_volume,spread,real_volume
2022-08-12 16:00:00,1.02705,1.0284,1.02681,1.02804,11108,4,0
2022-08-12 17:00:00,1.02804,1.02804,1.02381,1.02446,22225,5,0
2022-08-12 18:00:00,1.02446,1.02592,1.02437,1.02546,8279,5,0
2022-08-12 19:00:00,1.02546,1.02615,1.02509,1.02563,4396,4,0
2022-08-12 20:00:00,1.02563,1.02678,1.02563,1.02606,3838,5,0
2022-08-12 21:00:00,1.02607,1.02672,1.02595,1.02651,2383,5,0
2022-08-12 22:00:00,1.02651,1.02666,1.02598,1.02602,2379,5,0
2022-08-12 23:00:00,1.02602,1.0262,1.02535,1.02578,1554,5,0
2022-08-15 00:00:00,1.02562,1.02608,1.02538,1.02585,130,12,0
2022-08-15 01:00:00,1.02585,1.02625,1.02553,1.02598,1152,5,0
2022-08-15 02:00:00,1.02598,1.02631,1.02533,1.02534,1726,5,0
2022-08-15 03:00:00,1.02534,1.02672,1.02534,1.02661,3527,5,0
2022-08-15 04:00:00,1.02661,1.02682,1.0253,1.02571,2902,5,0
2022-08-15 05:00:00,1.02571,1.02573,1.02397,1.02453,3622,5,0
2022-08-15 06:00:00,1.02453,1.02529,1.0242,1.02518,1985,5,0
2022-08-15 07:00:00,1.02519,1.02557,1.02499,1.02503,1967,5,0
2022-08-15 08:00:00,1.02503,1.02521,1.02396,1.02404,2287,5,0
2022-08-15 09:00:00,1.02404,1.02473,1.0232,1.02359,4952,5,0
2022-08-15 10:00:00,1.02359,1.02444,1.02298,1.02339,6953,5,0
2022-08-15 11:00:00,1.0234,1.02364,1.01999,1.02069,7120,5,0
2022-08-15 12:00:00,1.02069,1.02109,1.01866,1.01992,7180,5,0
2022-08-15 13:00:00,1.01992,1.02069,1.01857,1.02038,6169,5,0
2022-08-15 14:00:00,1.02038,1.02085,1.01895,1.01953,5385,5,0
2022-08-15 15:00:00,1.01953,1.02144,1.01904,1.02006,14370,5,0
2022-08-15 16:00:00,1.02005,1.02231,1.01935,1.01982,10888,5,0
2022-08-15 17:00:00,1.01982,1.02007,1.01849,1.01939,8903,5,0
2022-08-15 18:00:00,1.01939,1.01961,1.01812,1.01849,6406,5,0
2022-08-15 19:00:00,1.0185,1.01853,1.01714,1.01755,3589,5,0
2022-08-15 20:00:00,1.01755,1.01783,1.01636,1.01645,2648,5,0
2022-08-15 21:00:00,1.01645,1.01656,1.01543,1.0156,2737,5,0
2022-08-15 22:00:00,1.0156,1.0164,1.0156,1.01606,1962,5,0
2022-08-15 23:00:00,1.01605,1.0164,1.0155,1.01579,1362,5,0
2022-08-16 00:00:00,1.01579,1.01617,1.01576,1.01585,449,23,0
2022-08-16 01:00:00,1.01585,1.0166,1.01524,1.01623,3723,5,0
2022-08-16 02:00:00,1.01623,1.01633,1.01588,1.01613,1394,5,0
2022-08-16 03:00:00,1.01613,1.01616,1.01472,1.01535,3716,5,0
2022-08-16 04:00:00,1.01535,1.01585,1.01488,1.01568,3385,5,0
2022-08-16 05:00:00,1.01568,1.01686,1.01567,1.01686,3072,5,0
